Plot_Number,Owner_Name,NRC_Number,Location,Plot_Size_sq_m,Land_Use,Title_Deed,Tenure,Registration_Date,Encumbrances,GPS_Coordinates,Ground_Rent_Status
NDL-1130,Joseph Ndalama,806714/46/4,Kabushi,2000,Industrial,TDR-2005-4556,Leasehold (65 yrs),2021-02-28,None,"-12.982300,28.655282",Paid
NDL-1131,David Mumba,378062/19/3,Twapia,1245,Mixed Use,TDR-2006-6411,Leasehold (50 yrs),2021-01-19,None,"-12.993815,28.624730",Paid
NDL-1132,Victor Tembo,725832/29/2,Northrise,20000,Industrial,TDR-2021-6828,Leasehold (65 yrs),2017-06-27,None,"-12.963101,28.655756",Paid
NDL-1133,Patrick Kapasa,355955/39/9,Garden,700,Residential,TDR-2023-6058,Freehold,2011-03-01,None,"-12.977088,28.666606",Paid
NDL-1134,Copperbelt Logistics Ltd,274996/11/9,Chifubu,2000,Industrial,TDR-2011-4459,Leasehold (65 yrs),2007-11-10,None,"-12.972572,28.640960",Paid
NDL-1135,Mukuka Sichone,484769/45/3,Mapalo,3000,Agricultural,TDR-2013-7043,Leasehold (50 yrs),2011-07-25,None,"-12.960185,28.663140",Paid
NDL-1136,Chibwe Kapasa,885204/22/8,Mushili,400,Commercial,TDR-2018-5710,Leasehold (65 yrs),2007-09-05,None,"-12.995807,28.628722",Paid
NDL-1137,Angela Lungu,196921/19/7,Kitwe Road,8000,Industrial,TDR-2012-8515,Leasehold (50 yrs),2012-08-01,None,"-12.962835,28.671973",Paid
NDL-1138,Michael Mwape,182011/44/8,Industrial Area,891,Mixed Use,TDR-2015-1626,Leasehold (50 yrs),2013-02-08,None,"-12.997739,28.670007",Paid
NDL-1139,Kansenshi Traders Industrial,717274/50/8,Itawa,400,Commercial,TDR-2017-4397,Leasehold (50 yrs),2018-08-18,None,"-12.988205,28.640511",Paid
NDL-1140,Faith Mulilo,979711/34/9,Kabushi,700,Residential,TDR-2013-5993,Leasehold (65 yrs),2013-04-20,None,"-12.966319,28.633810",Paid
NDL-1141,Samuel Chola,646400/26/8,Lubuto,1934,Mixed Use,TDR-2018-8236,State Land,2018-03-06,None,"-12.967670,28.622571",Paid
NDL-1142,Rose Sichone,750656/45/9,Town Centre,500,Residential,TDR-2012-9550,Freehold,2020-08-27,None,"-12.967094,28.629079",Arrears
NDL-1143,Michael Ndalama,519415/44/7,Itawa,3000,Industrial,TDR-2008-2483,Leasehold (99 yrs),2013-04-22,None,"-12.983785,28.670134",Paid
NDL-1144,Grace Ndalama,743173/34/7,Railway Line,500,Commercial,TDR-2020-4060,Freehold,2022-06-04,None,"-12.985138,28.669556",Paid
NDL-1145,Michael Mwanza,476980/11/2,Kabushi,1200,Commercial,TDR-2019-7878,Leasehold (50 yrs),2023-01-13,None,"-12.961758,28.622584",Paid
NDL-1146,Chibwe Kaluba,951473/38/9,Masala,200,Residential,TDR-2023-4586,Leasehold (99 yrs),2007-01-27,None,"-12.989306,28.624381",Paid
NDL-1147,Copperbelt Logistics Industrial,843795/39/3,Town Centre,465,Mixed Use,TDR-2018-9020,Leasehold (99 yrs),2016-03-13,None,"-12.968446,28.641335",Paid
NDL-1148,Chanda Lungu,773981/49/3,Mushili,1966,Mixed Use,TDR-2010-3739,Leasehold (99 yrs),2008-08-27,None,"-12.997411,28.671240",Paid
NDL-1149,Kansenshi Traders Enterprises,936451/11/8,Garden,8000,Agricultural,TDR-2023-2809,Freehold,2024-09-07,None,"-12.976852,28.654469",Paid
NDL-1150,Patrick Tembo,967804/15/3,Itawa,1953,Mixed Use,TDR-2006-7447,Leasehold (99 yrs),2006-09-02,None,"-12.965695,28.670647",Paid
NDL-1151,Samuel Kaunda,167102/16/3,Kitwe Road,5000,Industrial,TDR-2006-2396,State Land,2010-04-13,Mortgaged,"-12.967334,28.665384",Paid
NDL-1152,Simon Kaluba,127496/23/7,Itawa,847,Mixed Use,TDR-2019-7260,Leasehold (99 yrs),2022-11-06,None,"-12.965360,28.632555",Paid
NDL-1153,Chileshe Tembo,806992/11/6,Chililabombwe Road,800,Commercial,TDR-2021-4709,Leasehold (65 yrs),2023-03-31,None,"-12.962449,28.663628",Paid
NDL-1154,Mukuka Zulu,945616/14/9,Town Centre,8000,Agricultural,TDR-2021-6609,State Land,2008-11-07,None,"-12.992412,28.633429",Paid
NDL-1155,Kansenshi Traders Enterprises,787403/33/9,Lubuto,250,Residential,TDR-2021-5158,Leasehold (65 yrs),2010-05-25,Boundary_Dispute,"-12.961855,28.661907",Arrears
NDL-1156,ZamBuild Holdings,648892/36/9,Kabushi,864,Mixed Use,TDR-2014-1676,Leasehold (99 yrs),2021-11-08,None,"-12.972335,28.657741",Paid
NDL-1157,Moses Kapasa,700904/34/4,Town Centre,5000,Agricultural,TDR-2008-4688,State Land,2015-10-14,None,"-12.969572,28.636920",Arrears
NDL-1158,Rose Sitali,789124/48/8,Chililabombwe Road,250,Commercial,TDR-2015-9805,Leasehold (99 yrs),2007-08-22,None,"-12.973970,28.630214",Paid
NDL-1159,Nchimunya Mwanza,681605/32/5,Kitwe Road,10000,Agricultural,TDR-2018-8305,Leasehold (50 yrs),2019-10-20,None,"-12.990765,28.655989",Paid
NDL-1160,Ndola Estate Ltd,429991/48/7,Industrial Area,3000,Industrial,TDR-2016-5626,Leasehold (99 yrs),2010-07-09,None,"-12.978671,28.662506",Paid
NDL-1161,Ndola Estate PLC,586002/29/6,Kitwe Road,3000,Agricultural,TDR-2005-6374,Leasehold (50 yrs),2023-12-08,None,"-12.970890,28.658181",Paid
NDL-1162,Chanda Sitali,556872/48/7,Chipulukusu,8000,Industrial,TDR-2007-8507,Freehold,2024-02-01,None,"-12.960901,28.627502",Paid
NDL-1163,Beatrice Chanda,705824/22/3,Masala,5000,Industrial,TDR-2014-7914,Leasehold (50 yrs),2009-09-01,None,"-12.993305,28.652973",Paid
NDL-1164,Patricia Mwape,326531/33/2,Chililabombwe Road,3000,Industrial,TDR-2022-3283,Leasehold (50 yrs),2017-12-08,None,"-12.988755,28.655527",Paid
NDL-1165,Grace Sitali,983946/35/7,Ndeke,1000,Residential,TDR-2017-8670,Leasehold (50 yrs),2019-08-22,None,"-12.976177,28.672944",Paid
NDL-1166,Joseph Mwanza,545185/24/3,Ndeke,5000,Industrial,TDR-2015-5703,Freehold,2010-12-08,None,"-12.960229,28.624872",Paid
NDL-1167,Brian Banda,384585/12/8,Northrise,1500,Commercial,TDR-2020-4454,Leasehold (65 yrs),2013-04-08,None,"-12.987900,28.669848",Paid
NDL-1168,Samuel Kapasa,678074/37/1,Lubuto,1500,Commercial,TDR-2016-2032,State Land,2009-05-14,None,"-12.970259,28.627745",Paid
NDL-1169,Lubuto Cooperative Group,688796/46/2,Mapalo,700,Residential,TDR-2011-3793,Leasehold (65 yrs),2006-07-29,Caveat,"-12.984252,28.666079",Paid
NDL-1170,Simon Kapasa,242711/43/9,Kitwe Road,1602,Mixed Use,TDR-2006-6825,Leasehold (65 yrs),2011-03-26,Boundary_Dispute,"-12.985364,28.623053",Paid
NDL-1171,Thandiwe Kaluba,697448/46/6,Kitwe Road,800,Commercial,TDR-2012-9979,Leasehold (50 yrs),2016-03-21,None,"-12.994677,28.639821",Paid
NDL-1172,Faith Phiri,347870/42/8,Twapia,600,Residential,TDR-2017-1731,Leasehold (99 yrs),2007-04-03,None,"-12.973417,28.625352",Paid
NDL-1173,Mary Banda,376740/31/4,Garden,10000,Industrial,TDR-2018-7726,Freehold,2014-07-05,None,"-12.987257,28.671503",Paid
NDL-1174,ZamBuild Co,796937/47/5,Itawa,800,Residential,TDR-2014-9545,Leasehold (65 yrs),2021-02-04,Mortgaged,"-12.989325,28.667544",Paid
NDL-1175,Rose Chanda,545515/30/6,Twapia,450,Residential,TDR-2023-8232,State Land,2008-04-27,None,"-12.964012,28.669840",Paid
NDL-1176,PanAfrican Cement Enterprises,882064/28/3,Mushili,1000,Residential,TDR-2015-7857,Leasehold (99 yrs),2011-08-09,None,"-12.962410,28.672767",Paid
NDL-1177,Michael Mwanza,989948/26/2,Ndeke,500,Commercial,TDR-2018-1133,State Land,2010-04-08,None,"-12.969505,28.659121",Arrears
NDL-1178,Nelson Tembo,604330/38/4,Industrial Area,1500,Commercial,TDR-2012-9843,Leasehold (65 yrs),2006-01-03,Double_Allocation,"-12.980208,28.666405",Paid
NDL-1179,GreenFields Holdings,638170/17/7,Chipulukusu,800,Residential,TDR-2006-1420,Leasehold (65 yrs),2022-05-19,None,"-12.970767,28.650802",Paid
NDL-1180,Lubuto Cooperative Group,697701/22/5,Garden,1500,Agricultural,TDR-2013-3488,Leasehold (99 yrs),2009-07-01,Boundary_Dispute,"-12.984840,28.630211",Paid
NDL-1181,Michael Chola,369557/28/8,Mushili,906,Mixed Use,TDR-2006-1059,Leasehold (65 yrs),2010-03-19,None,"-12.994117,28.656051",Paid
NDL-1182,Samuel Ndalama,892691/49/5,Garden,335,Mixed Use,TDR-2017-6857,State Land,2019-08-14,None,"-12.994232,28.665423",Paid
NDL-1183,Grace Tembo,316135/30/8,Mapalo,2000,Agricultural,TDR-2007-4675,State Land,2011-03-11,None,"-12.988959,28.669609",Paid
NDL-1184,Moses Chola,799257/43/5,Twapia,8000,Agricultural,TDR-2023-5698,Leasehold (50 yrs),2023-04-17,None,"-12.964425,28.663208",Paid
NDL-1185,Brian Mwape,692977/13/5,Lubuto,500,Residential,TDR-2018-4592,Leasehold (50 yrs),2009-02-04,Auctioned,"-12.992678,28.667778",Paid
NDL-1186,Faith Tembo,599846/11/8,Masala,500,Residential,TDR-2007-3482,Leasehold (99 yrs),2021-10-25,None,"-12.978471,28.641942",Arrears
NDL-1187,Victor Mulilo,528658/33/1,Kansenshi,10000,Industrial,TDR-2020-7468,Freehold,2007-06-29,None,"-12.971878,28.651434",Paid
NDL-1188,Angela Tembo,357520/10/9,Lubuto,1295,Mixed Use,TDR-2022-1559,Freehold,2007-08-08,None,"-12.987500,28.666815",Paid
NDL-1189,Mwansa Sitali,539122/50/1,Itawa,10000,Industrial,TDR-2021-2520,Leasehold (50 yrs),2015-05-30,None,"-12.964437,28.621851",Paid
NDL-1190,Michael Sichone,136958/42/2,Masala,800,Residential,TDR-2018-7520,Freehold,2013-09-15,None,"-12.982772,28.645391",Paid
NDL-1191,Mukuka Kaluba,105979/48/7,Kitwe Road,423,Mixed Use,TDR-2005-1898,Freehold,2011-02-08,None,"-12.971325,28.648486",Paid
NDL-1192,Chibwe Zulu,232899/12/9,Kansenshi,5000,Industrial,TDR-2022-2211,Leasehold (99 yrs),2021-06-29,None,"-12.995401,28.639767",Paid
NDL-1193,Samuel Mumba,881939/17/1,Kabushi,1656,Mixed Use,TDR-2005-5956,Leasehold (50 yrs),2014-12-04,None,"-12.962926,28.664436",Paid
NDL-1194,Alice Zulu,268554/32/7,Chifubu,1859,Mixed Use,TDR-2005-7976,Leasehold (50 yrs),2014-01-20,None,"-12.992866,28.622630",Paid
NDL-1195,Chanda Sichone,473278/50/4,Mushili,1287,Mixed Use,TDR-2006-7571,Leasehold (99 yrs),2020-07-02,None,"-12.994742,28.649706",Paid
NDL-1196,Beatrice Tembo,635308/49/2,Itawa,2000,Agricultural,TDR-2011-5074,State Land,2017-08-10,None,"-12.981055,28.627443",Paid
NDL-1197,James Tembo,276618/25/7,Mapalo,10000,Agricultural,TDR-2007-1402,Leasehold (50 yrs),2014-10-06,None,"-12.992592,28.656124",Paid
NDL-1198,Chibwe Kaluba,874382/40/4,Mapalo,350,Residential,TDR-2018-5095,Leasehold (99 yrs),2012-01-24,Mortgaged,"-12.987036,28.668840",Arrears
NDL-1199,Simon Kaluba,544595/29/4,Garden,2000,Agricultural,TDR-2008-6160,Leasehold (50 yrs),2009-06-05,None,"-12.961646,28.633826",Paid
NDL-1200,Chanda Mulilo,849408/36/6,Ndeke,10000,Agricultural,TDR-2005-7013,Freehold,2020-12-03,None,"-12.997735,28.666139",Paid
NDL-1201,Mukuka Chola,400805/47/8,Mapalo,3000,Industrial,TDR-2018-6063,State Land,2014-03-18,None,"-12.965771,28.646439",Paid
NDL-1202,Mutale Ndalama,148774/20/4,Kansenshi,3000,Agricultural,TDR-2019-3550,Leasehold (50 yrs),2020-07-13,None,"-12.962252,28.629470",Paid
NDL-1203,Moses Sichone,200672/22/5,Garden,20000,Industrial,TDR-2008-5398,Leasehold (50 yrs),2016-05-03,None,"-12.971080,28.640921",Paid
NDL-1204,Alice Chola,663089/31/2,Northrise,800,Residential,TDR-2019-2217,Leasehold (50 yrs),2013-09-19,None,"-12.991933,28.621542",Paid
NDL-1205,Ndola Estate Industrial,854704/39/9,Chipulukusu,3000,Industrial,TDR-2022-8102,Freehold,2014-06-22,None,"-12.992358,28.635893",Paid
NDL-1206,Chanda Phiri,139509/45/5,Chifubu,1439,Mixed Use,TDR-2008-4888,Leasehold (50 yrs),2015-05-09,None,"-12.995543,28.623314",Paid
NDL-1207,Joseph Sichone,654536/37/9,Masala,688,Mixed Use,TDR-2023-8803,Leasehold (99 yrs),2006-10-26,None,"-12.965546,28.632310",Paid
NDL-1208,Mary Mulilo,655998/18/8,Northrise,587,Mixed Use,TDR-2017-4612,State Land,2005-06-11,None,"-12.971886,28.656681",Paid
NDL-1209,David Ndalama,373971/35/1,Garden,5000,Industrial,TDR-2015-9267,Freehold,2014-11-22,None,"-12.964437,28.627056",Paid
NDL-1210,Thandiwe Phiri,828879/29/1,Industrial Area,5000,Industrial,TDR-2009-8062,Freehold,2020-08-01,None,"-12.979012,28.642445",Paid
NDL-1211,Beatrice Chola,643498/22/9,Itawa,20000,Industrial,TDR-2010-5245,Leasehold (99 yrs),2005-01-05,None,"-12.994359,28.666303",Paid
NDL-1212,Central Agro Ltd,572435/37/4,Mushili,300,Residential,TDR-2018-4842,Leasehold (65 yrs),2007-10-16,Double_Allocation,"-12.970244,28.653027",Paid
NDL-1213,Angela Tembo,483270/33/2,Kabushi,500,Residential,TDR-2014-8509,Leasehold (99 yrs),2007-01-14,None,"-12.973026,28.637903",Paid
NDL-1214,James Chanda,390259/40/7,Chifubu,495,Mixed Use,TDR-2012-7755,Leasehold (50 yrs),2006-12-01,None,"-12.993392,28.640106",Paid
NDL-1215,Lubuto Cooperative PLC,922768/41/9,Itawa,5000,Agricultural,TDR-2015-8975,Leasehold (65 yrs),2023-03-27,None,"-12.960315,28.625857",Arrears
NDL-1216,Grace Chola,608175/18/8,Railway Line,20000,Agricultural,TDR-2019-1712,State Land,2007-03-06,None,"-12.965266,28.656260",Paid
NDL-1217,David Chola,853218/42/3,Chipulukusu,250,Commercial,TDR-2019-9653,Freehold,2010-10-18,None,"-12.991809,28.639978",Paid
NDL-1218,Chibwe Mulilo,866281/44/2,Northrise,8000,Agricultural,TDR-2014-6594,Leasehold (99 yrs),2018-06-15,None,"-12.964509,28.625180",Paid
NDL-1219,George Chanda,140367/14/5,Garden,1566,Mixed Use,TDR-2005-8070,State Land,2006-11-21,None,"-12.991033,28.673049",Paid
NDL-1220,James Kaunda,301325/48/8,Northrise,1719,Mixed Use,TDR-2006-6231,Leasehold (65 yrs),2024-11-05,None,"-12.997619,28.656238",Paid
NDL-1221,Samuel Mwape,915206/16/6,Mushili,700,Residential,TDR-2023-7764,Freehold,2020-10-05,None,"-12.968929,28.666117",Paid
NDL-1222,Moses Chanda,112669/32/3,Chililabombwe Road,8000,Agricultural,TDR-2014-8547,Leasehold (50 yrs),2006-04-10,None,"-12.982008,28.667699",Paid
NDL-1223,UrbanDevelopers Enterprises,310363/43/3,Kansenshi,1397,Mixed Use,TDR-2022-9066,Leasehold (99 yrs),2006-10-25,None,"-12.984385,28.660532",Paid
NDL-1224,Kansenshi Traders Group,671950/16/8,Chililabombwe Road,8000,Agricultural,TDR-2012-5640,Leasehold (50 yrs),2020-10-19,None,"-12.973667,28.656191",Paid
NDL-1225,Nelson Kapasa,135411/18/9,Northrise,300,Residential,TDR-2014-2495,Leasehold (65 yrs),2020-02-25,None,"-12.984491,28.672682",Paid
NDL-1226,Grace Sichone,681291/39/2,Ndeke,1500,Commercial,TDR-2013-4364,Leasehold (99 yrs),2015-12-20,None,"-12.996372,28.644165",Paid
NDL-1227,ZamBuild Industrial,956600/46/4,Chipulukusu,5000,Industrial,TDR-2005-3885,Leasehold (50 yrs),2018-03-15,None,"-12.982505,28.670691",Paid
NDL-1228,George Kaunda,692467/15/5,Chifubu,1789,Mixed Use,TDR-2016-8727,Freehold,2022-03-15,None,"-12.971956,28.658658",Paid
NDL-1229,Patricia Mulenga,761014/33/8,Lubuto,1000,Commercial,TDR-2007-7051,Leasehold (50 yrs),2007-01-11,Double_Allocation,"-12.987933,28.655304",Paid
NDL-1230,Mary Mumba,357897/28/4,Kitwe Road,487,Mixed Use,TDR-2015-9935,Leasehold (65 yrs),2012-10-09,None,"-12.994751,28.636274",Paid
NDL-1231,George Sitali,956312/39/4,Industrial Area,8000,Agricultural,TDR-2024-9875,Leasehold (65 yrs),2012-01-08,None,"-12.994173,28.668312",Paid
NDL-1232,Copperbelt Logistics PLC,569249/11/3,Kitwe Road,10000,Agricultural,TDR-2013-2514,State Land,2012-11-01,None,"-12.997224,28.674853",Paid
NDL-1233,Mwansa Phiri,751438/15/1,Kansenshi,1082,Mixed Use,TDR-2020-8405,Leasehold (99 yrs),2010-09-02,None,"-12.991514,28.659796",Paid
NDL-1234,Mulenga Ndalama,692310/21/5,Ndeke,1200,Commercial,TDR-2015-5462,Leasehold (65 yrs),2010-03-06,None,"-12.968193,28.636446",Paid
NDL-1235,Ndola Minerals Holdings,865782/42/6,Lubuto,300,Commercial,TDR-2013-4664,Leasehold (65 yrs),2016-05-30,None,"-12.971385,28.647547",Paid
NDL-1236,Chileshe Banda,148062/13/5,Kansenshi,1251,Mixed Use,TDR-2006-7465,State Land,2013-06-30,None,"-12.988963,28.627077",Paid
NDL-1237,Esther Mwanza,892628/35/6,Mapalo,5000,Industrial,TDR-2020-1210,Freehold,2021-11-25,None,"-12.972704,28.673090",Paid
NDL-1238,Thandiwe Ndalama,710786/16/8,Itawa,10000,Industrial,TDR-2005-3983,Leasehold (99 yrs),2012-12-27,None,"-12.976918,28.625906",Paid
NDL-1239,Simon Mulilo,661949/37/3,Industrial Area,500,Residential,TDR-2015-9048,State Land,2017-07-09,None,"-12.973626,28.668811",Paid
NDL-1240,Beatrice Ndalama,227835/18/7,Chililabombwe Road,2000,Agricultural,TDR-2014-6476,Leasehold (65 yrs),2010-05-18,None,"-12.960742,28.634906",Paid
NDL-1241,Joseph Kapasa,804196/18/7,Mapalo,442,Mixed Use,TDR-2009-9532,Freehold,2009-11-21,None,"-12.970374,28.649051",Paid
NDL-1242,PanAfrican Cement Resources,761092/30/3,Masala,5000,Agricultural,TDR-2017-1451,Leasehold (99 yrs),2022-05-28,None,"-12.978382,28.647068",Paid
NDL-1243,Kansenshi Traders PLC,920961/43/1,Masala,10000,Industrial,TDR-2020-6645,Freehold,2013-03-24,None,"-12.962119,28.642183",Paid
NDL-1244,Copperbelt Logistics Enterprises,916696/48/8,Chililabombwe Road,1500,Commercial,TDR-2016-7609,Leasehold (65 yrs),2012-03-04,None,"-12.979112,28.631167",Paid
NDL-1245,Simon Mulenga,965804/26/1,Kitwe Road,1500,Agricultural,TDR-2013-3235,Leasehold (50 yrs),2013-07-27,None,"-12.987210,28.673253",Paid
NDL-1246,GreenFields Enterprises,824555/22/8,Mapalo,450,Residential,TDR-2012-6794,Leasehold (65 yrs),2015-01-01,None,"-12.972816,28.634304",Paid
NDL-1247,Ndola Estate Holdings,193881/36/5,Mushili,3000,Agricultural,TDR-2008-3456,Leasehold (65 yrs),2011-04-30,None,"-12.963753,28.620796",Paid
NDL-1248,Mercy Mwape,962364/48/6,Masala,800,Commercial,TDR-2019-3097,Freehold,2017-01-06,None,"-12.981255,28.624698",Paid
NDL-1249,Samuel Chanda,324160/22/4,Northrise,10000,Industrial,TDR-2022-2713,Leasehold (99 yrs),2015-08-29,Caveat,"-12.964318,28.635099",Paid
NDL-1250,Brian Kaunda,782590/46/5,Garden,300,Residential,TDR-2022-2961,Freehold,2010-12-09,None,"-12.992473,28.648462",Paid
NDL-1251,James Chanda,756656/34/4,Chipulukusu,250,Commercial,TDR-2019-2999,State Land,2022-06-22,None,"-12.982895,28.634782",Paid
NDL-1252,Chanda Kaluba,844715/34/4,Industrial Area,1951,Mixed Use,TDR-2007-5329,State Land,2019-11-10,None,"-12.976744,28.654331",Paid
NDL-1253,Peter Phiri,687540/27/3,Garden,400,Commercial,TDR-2013-1362,Leasehold (65 yrs),2017-12-24,None,"-12.972170,28.624825",Paid
NDL-1254,Samuel Mwape,867822/34/8,Chililabombwe Road,1926,Mixed Use,TDR-2024-9119,Leasehold (65 yrs),2013-02-20,None,"-12.990060,28.622178",Paid
NDL-1255,Ndola Estate PLC,691138/32/2,Twapia,400,Commercial,TDR-2015-7363,Leasehold (99 yrs),2005-08-14,Mortgaged,"-12.995388,28.639868",Paid
NDL-1256,Nchimunya Sichone,904244/41/9,Kansenshi,3000,Agricultural,TDR-2016-7871,Freehold,2021-01-01,None,"-12.975462,28.670861",Paid
NDL-1257,PanAfrican Cement Industrial,793615/23/2,Itawa,800,Residential,TDR-2023-6416,Leasehold (50 yrs),2012-06-16,None,"-12.974701,28.639226",Paid
NDL-1258,Kansenshi Traders Co,601441/20/4,Masala,8000,Industrial,TDR-2010-3570,State Land,2014-09-16,None,"-12.993530,28.620844",Paid
NDL-1259,Patricia Banda,212189/10/3,Twapia,1674,Mixed Use,TDR-2006-5785,State Land,2019-09-30,None,"-12.990332,28.628090",Paid
NDL-1260,Angela Banda,808593/31/5,Masala,8000,Industrial,TDR-2013-4318,Leasehold (99 yrs),2018-02-26,None,"-12.960092,28.632009",Paid
NDL-1261,Lubuto Cooperative Group,715885/28/6,Twapia,1000,Residential,TDR-2015-1677,State Land,2014-07-23,None,"-12.996764,28.636230",Arrears
NDL-1262,Joseph Chanda,366306/19/7,Kansenshi,300,Commercial,TDR-2010-8421,Leasehold (65 yrs),2021-03-28,None,"-12.971262,28.641227",Paid
NDL-1263,Thandiwe Kaluba,379439/18/7,Ndeke,20000,Industrial,TDR-2011-4165,State Land,2010-03-11,None,"-12.996063,28.643357",Paid
NDL-1264,PanAfrican Cement Resources,686623/36/7,Kabushi,8000,Industrial,TDR-2008-3726,Leasehold (50 yrs),2020-03-12,None,"-12.978501,28.631989",Paid
NDL-1265,Nchimunya Mwanza,550351/16/1,Mushili,351,Mixed Use,TDR-2021-1323,Freehold,2017-04-28,None,"-12.977508,28.656746",Paid
NDL-1266,Mulenga Tembo,347141/17/2,Northrise,600,Residential,TDR-2023-8566,Freehold,2024-07-23,Double_Allocation,"-12.996124,28.659847",Paid
NDL-1267,Patrick Phiri,133649/39/6,Industrial Area,400,Commercial,TDR-2019-1630,Leasehold (99 yrs),2018-12-17,None,"-12.971253,28.625386",Paid
NDL-1268,Alice Chanda,714342/43/5,Itawa,800,Commercial,TDR-2012-5674,State Land,2021-07-16,Mortgaged,"-12.996883,28.642582",Paid
NDL-1269,Brian Mumba,963800/27/1,Kabushi,300,Commercial,TDR-2016-9656,Freehold,2023-10-14,None,"-12.985994,28.674559",Paid
NDL-1270,Mulenga Mwape,665905/30/3,Garden,1074,Mixed Use,TDR-2024-2462,Leasehold (65 yrs),2006-01-05,None,"-12.984799,28.626850",Paid
NDL-1271,UrbanDevelopers Holdings,585199/31/1,Masala,500,Residential,TDR-2015-2439,Leasehold (50 yrs),2022-06-03,None,"-12.994044,28.655587",Paid
NDL-1272,Angela Lungu,561267/15/8,Town Centre,20000,Industrial,TDR-2007-6627,Freehold,2024-09-13,None,"-12.985220,28.660621",Paid
NDL-1273,Ruth Chanda,536612/50/6,Industrial Area,20000,Agricultural,TDR-2022-3284,Leasehold (99 yrs),2008-09-06,None,"-12.992598,28.630405",Paid
NDL-1274,Patrick Ndalama,704109/29/3,Kansenshi,300,Commercial,TDR-2006-5239,Leasehold (99 yrs),2010-09-22,None,"-12.961963,28.654951",Paid
NDL-1275,Patrick Banda,588591/19/1,Itawa,3000,Agricultural,TDR-2021-1069,Leasehold (50 yrs),2020-01-26,None,"-12.986241,28.642171",Paid
NDL-1276,Chanda Kaluba,282436/16/2,Twapia,800,Commercial,TDR-2023-5345,Leasehold (65 yrs),2012-09-19,None,"-12.995272,28.629683",Paid
NDL-1277,Chibwe Lungu,923189/42/2,Kitwe Road,400,Commercial,TDR-2018-2480,Leasehold (65 yrs),2006-01-01,Mortgaged,"-12.983756,28.634222",Arrears
NDL-1278,Nelson Zulu,541958/40/5,Kabushi,200,Residential,TDR-2020-8295,Leasehold (65 yrs),2013-08-06,None,"-12.972724,28.645550",Paid
NDL-1279,Ruth Phiri,938801/31/2,Mushili,200,Residential,TDR-2012-9709,State Land,2005-03-05,None,"-12.993743,28.649864",Paid
NDL-1280,Memory Chola,616848/11/7,Railway Line,493,Mixed Use,TDR-2014-9994,Leasehold (50 yrs),2022-03-19,None,"-12.997905,28.649802",Paid
NDL-1281,Victor Kaunda,567178/49/9,Lubuto,1387,Mixed Use,TDR-2017-7715,Leasehold (65 yrs),2023-08-19,None,"-12.966101,28.642854",Paid
NDL-1282,Faith Mwanza,348127/44/2,Northrise,10000,Industrial,TDR-2024-4562,Leasehold (65 yrs),2014-06-16,None,"-12.994369,28.640450",Paid
NDL-1283,Mukuka Lungu,274949/19/4,Twapia,10000,Industrial,TDR-2014-3457,State Land,2009-04-24,None,"-12.973991,28.626814",Paid
NDL-1284,Michael Kaunda,872757/21/6,Mapalo,1200,Commercial,TDR-2021-6546,Leasehold (99 yrs),2021-07-05,None,"-12.972966,28.674557",Paid
NDL-1285,Ndola Estate Holdings,463596/29/3,Mushili,3000,Agricultural,TDR-2007-2933,Leasehold (65 yrs),2021-07-15,None,"-12.975170,28.641483",Paid
NDL-1286,Copperbelt Logistics Resources,590185/22/1,Mapalo,3000,Industrial,TDR-2012-2840,State Land,2010-02-04,None,"-12.973944,28.627716",Paid
NDL-1287,Brian Kaunda,812250/34/8,Chililabombwe Road,1500,Agricultural,TDR-2023-8498,Leasehold (65 yrs),2005-03-02,None,"-12.995026,28.636772",Arrears
NDL-1288,James Sitali,246005/13/1,Itawa,1160,Mixed Use,TDR-2007-4253,Leasehold (99 yrs),2011-01-31,None,"-12.987952,28.672727",Paid
NDL-1289,Chipo Kapasa,870831/10/6,Mapalo,8000,Agricultural,TDR-2020-9902,State Land,2015-03-15,None,"-12.963784,28.652652",Paid
NDL-1290,Brian Mumba,187168/17/1,Chipulukusu,250,Residential,TDR-2024-1641,Leasehold (50 yrs),2023-12-09,None,"-12.988679,28.645760",Paid
NDL-1291,James Zulu,157789/45/7,Garden,300,Commercial,TDR-2006-6894,Leasehold (99 yrs),2011-01-09,None,"-12.975330,28.620784",Arrears
NDL-1292,Patrick Sichone,188533/29/2,Ndeke,300,Residential,TDR-2007-2545,State Land,2023-05-15,Boundary_Dispute,"-12.967630,28.641259",Paid
NDL-1293,Victor Sichone,515729/12/2,Kansenshi,1000,Residential,TDR-2008-3167,Leasehold (99 yrs),2010-10-21,None,"-12.988355,28.629108",Arrears
NDL-1294,Mulenga Sichone,752380/44/6,Lubuto,20000,Industrial,TDR-2021-2345,Freehold,2007-09-24,Mortgaged,"-12.966148,28.656750",Paid
NDL-1295,Samuel Ndalama,451737/32/4,Ndeke,400,Commercial,TDR-2015-1592,Leasehold (65 yrs),2021-10-17,None,"-12.989883,28.621211",Paid
NDL-1296,Victor Kaluba,513415/26/6,Kitwe Road,3000,Agricultural,TDR-2014-3477,Freehold,2013-06-29,Mortgaged,"-12.968439,28.626165",Paid
NDL-1297,Moses Kaluba,509282/39/7,Mapalo,800,Commercial,TDR-2018-4899,Freehold,2019-11-10,None,"-12.986262,28.621153",Paid
